"role_id","menu_id","create_time"
"2","1","2025-11-27 14:34:19"
"2","2","2025-11-27 14:34:19"
"2","3","2025-11-27 14:34:19"
"2","4","2025-11-27 14:34:19"
"2","100","2025-11-27 14:34:19"
"2","101","2025-11-27 14:34:19"
"2","102","2025-11-27 14:34:19"
"2","103","2025-11-27 14:34:19"
"2","104","2025-11-27 14:34:19"
"2","105","2025-11-27 14:34:19"
"2","106","2025-11-27 14:34:19"
"2","107","2025-11-27 14:34:19"
"2","108","2025-11-27 14:34:19"
"2","109","2025-11-27 14:34:19"
"2","110","2025-11-27 14:34:19"
"2","111","2025-11-27 14:34:19"
"2","112","2025-11-27 14:34:19"
"2","113","2025-11-27 14:34:19"
"2","114","2025-11-27 14:34:19"
"2","115","2025-11-27 14:34:19"
"2","116","2025-11-27 14:34:19"
"2","117","2025-11-27 14:34:19"
"2","500","2025-11-27 14:34:19"
"2","501","2025-11-27 14:34:19"
"2","1000","2025-11-27 14:34:19"
"2","1001","2025-11-27 14:34:19"
"2","1002","2025-11-27 14:34:19"
"2","1003","2025-11-27 14:34:19"
"2","1004","2025-11-27 14:34:19"
"2","1005","2025-11-27 14:34:19"
"2","1006","2025-11-27 14:34:19"
"2","1007","2025-11-27 14:34:19"
"2","1008","2025-11-27 14:34:19"
"2","1009","2025-11-27 14:34:19"
"2","1010","2025-11-27 14:34:19"
"2","1011","2025-11-27 14:34:19"
"2","1012","2025-11-27 14:34:19"
"2","1013","2025-11-27 14:34:19"
"2","1014","2025-11-27 14:34:19"
"2","1015","2025-11-27 14:34:19"
"2","1016","2025-11-27 14:34:19"
"2","1017","2025-11-27 14:34:19"
"2","1018","2025-11-27 14:34:19"
"2","1019","2025-11-27 14:34:19"
"2","1020","2025-11-27 14:34:19"
"2","1021","2025-11-27 14:34:19"
"2","1022","2025-11-27 14:34:19"
"2","1023","2025-11-27 14:34:19"
"2","1024","2025-11-27 14:34:19"
"2","1025","2025-11-27 14:34:19"
"2","1026","2025-11-27 14:34:19"
"2","1027","2025-11-27 14:34:19"
"2","1028","2025-11-27 14:34:19"
"2","1029","2025-11-27 14:34:19"
"2","1030","2025-11-27 14:34:19"
"2","1031","2025-11-27 14:34:19"
"2","1032","2025-11-27 14:34:19"
"2","1033","2025-11-27 14:34:19"
"2","1034","2025-11-27 14:34:19"
"2","1035","2025-11-27 14:34:19"
"2","1036","2025-11-27 14:34:19"
"2","1037","2025-11-27 14:34:19"
"2","1038","2025-11-27 14:34:19"
"2","1039","2025-11-27 14:34:19"
"2","1040","2025-11-27 14:34:19"
"2","1041","2025-11-27 14:34:19"
"2","1042","2025-11-27 14:34:19"
"2","1043","2025-11-27 14:34:19"
"2","1044","2025-11-27 14:34:19"
"2","1045","2025-11-27 14:34:19"
"2","1046","2025-11-27 14:34:19"
"2","1047","2025-11-27 14:34:19"
"2","1048","2025-11-27 14:34:19"
"2","1049","2025-11-27 14:34:19"
"2","1050","2025-11-27 14:34:19"
"2","1051","2025-11-27 14:34:19"
"2","1052","2025-11-27 14:34:19"
"2","1053","2025-11-27 14:34:19"
"2","1054","2025-11-27 14:34:19"
"2","1055","2025-11-27 14:34:19"
"2","1056","2025-11-27 14:34:19"
"2","1057","2025-11-27 14:34:19"
"2","1058","2025-11-27 14:34:19"
"2","1059","2025-11-27 14:34:19"
"2","1060","2025-11-27 14:34:19"
