menu_id,menu_name,parent_id,order_num,path,component,query,route_name,is_frame,is_cache,menu_type,visible,status,perms,icon,create_by,create_time,update_by,update_time,remark
12230,统一支付订单明细表,3,1,paymentitems,bt10/paymentitems/index,,,1,0,C,0,0,bt10:paymentitems:list,#,admin,2025-01-01 00:00:00,,,统一支付订单明细表菜单
12231,统一支付订单明细表查询,12230,1,#,,,,1,0,F,0,0,bt10:paymentitems:query,#,admin,2025-01-01 00:00:00,,,""
12232,统一支付订单明细表新增,12230,2,#,,,,1,0,F,0,0,bt10:paymentitems:add,#,admin,2025-01-01 00:00:00,,,""
12233,统一支付订单明细表修改,12230,3,#,,,,1,0,F,0,0,bt10:paymentitems:edit,#,admin,2025-01-01 00:00:00,,,""
12234,统一支付订单明细表删除,12230,4,#,,,,1,0,F,0,0,bt10:paymentitems:remove,#,admin,2025-01-01 00:00:00,,,""
12235,统一支付订单明细表导出,12230,5,#,,,,1,0,F,0,0,bt10:paymentitems:export,#,admin,2025-01-01 00:00:00,,,""
