menu_id,menu_name,parent_id,order_num,path,component,query,route_name,is_frame,is_cache,menu_type,visible,status,perms,icon,create_by,create_time,update_by,update_time,remark
12350,用户信息画像扩展表,3,1,userprofiles,bt10/userprofiles/index,,,1,0,C,0,0,bt10:userprofiles:list,#,admin,2025-01-01 00:00:00,,,用户信息画像扩展表菜单
12351,用户信息画像扩展表查询,12350,1,#,,,,1,0,F,0,0,bt10:userprofiles:query,#,admin,2025-01-01 00:00:00,,,""
12352,用户信息画像扩展表新增,12350,2,#,,,,1,0,F,0,0,bt10:userprofiles:add,#,admin,2025-01-01 00:00:00,,,""
12353,用户信息画像扩展表修改,12350,3,#,,,,1,0,F,0,0,bt10:userprofiles:edit,#,admin,2025-01-01 00:00:00,,,""
12354,用户信息画像扩展表删除,12350,4,#,,,,1,0,F,0,0,bt10:userprofiles:remove,#,admin,2025-01-01 00:00:00,,,""
12355,用户信息画像扩展表导出,12350,5,#,,,,1,0,F,0,0,bt10:userprofiles:export,#,admin,2025-01-01 00:00:00,,,""
