menu_id,menu_name,parent_id,order_num,path,component,query,route_name,is_frame,is_cache,menu_type,visible,status,perms,icon,create_by,create_time,update_by,update_time,remark
12270,通用标签定义表,3,1,tags,bt10/tags/index,,,1,0,C,0,0,bt10:tags:list,#,admin,2025-01-01 00:00:00,,,通用标签定义表菜单
12271,通用标签定义表查询,12270,1,#,,,,1,0,F,0,0,bt10:tags:query,#,admin,2025-01-01 00:00:00,,,""
12272,通用标签定义表新增,12270,2,#,,,,1,0,F,0,0,bt10:tags:add,#,admin,2025-01-01 00:00:00,,,""
12273,通用标签定义表修改,12270,3,#,,,,1,0,F,0,0,bt10:tags:edit,#,admin,2025-01-01 00:00:00,,,""
12274,通用标签定义表删除,12270,4,#,,,,1,0,F,0,0,bt10:tags:remove,#,admin,2025-01-01 00:00:00,,,""
12275,通用标签定义表导出,12270,5,#,,,,1,0,F,0,0,bt10:tags:export,#,admin,2025-01-01 00:00:00,,,""
